Index,R0_C0,R0_C1,R0_C2,R0_C3,R0_C4,R0_C5,R1_C0,R1_C1,R1_C2,R1_C3,R1_C4,R1_C5,R2_C0,R2_C1,R2_C2,R2_C3,R2_C4,R2_C5,R3_C0,R3_C1,R3_C2,R3_C3,R3_C4,R3_C5,R4_C0,R4_C1,R4_C2,R4_C3,R4_C4,R4_C5,R5_C0,R5_C1,R5_C2,R5_C3,R5_C4,R5_C5,VGND
20,-4,7,3,3,-1,5,-5,9,1,4,-1,1,-7,7,2,4,-3,2,-5,6,3,1,-1,4,-2,9,0,4,-4,4,-5,6,1,3,-3,1,-2
21,-6,8,3,5,-3,4,-4,9,3,2,-2,4,-5,6,1,3,-1,4,-4,8,0,1,-2,4,-5,7,2,4,1,2,-6,8,0,2,-1,4,0
22,-6,6,3,1,-3,0,-6,6,2,2,0,2,-5,7,0,2,-2,1,-5,6,3,3,-2,4,-5,6,1,4,-3,1,-5,8,3,1,0,2,1
23,-4,9,3,4,0,3,-4,6,1,4,-2,3,-5,9,2,4,-1,1,-5,6,2,1,-1,4,-4,9,1,4,-1,2,-5,9,0,3,0,1,1
24,-3,6,1,4,-2,3,-5,6,0,3,0,4,-3,7,5,3,-1,2,-5,6,3,4,0,3,-4,10,1,4,1,2,-5,9,2,2,-1,1,-2
25,-5,8,2,4,-2,2,-4,8,1,5,-3,1,-6,6,1,4,-2,1,-4,6,2,4,-1,4,-7,6,3,4,-2,1,-7,6,2,5,-2,2,-3
26,-5,7,2,2,-2,3,-4,8,2,2,1,1,-5,7,3,3,-1,3,-3,8,1,1,-2,3,-5,7,-1,1,-1,2,-6,8,2,2,-4,4,-2
27,-4,6,1,2,0,2,-6,7,1,2,0,2,-5,6,0,3,-2,4,-5,9,3,4,-3,4,-5,8,1,2,0,4,-5,5,3,4,0,3,-2
28,-5,7,1,4,-1,2,-2,9,1,3,0,1,-5,6,2,5,-1,4,-5,7,0,3,-3,4,-5,6,3,4,0,2,-7,7,3,1,0,1,-2
29,-5,6,2,3,-1,4,-5,9,2,2,2,4,-5,7,4,1,0,2,-5,6,0,4,-1,2,-5,6,3,4,-1,3,-5,9,2,4,0,2,-1
30,-4,9,0,4,-3,4,-7,7,2,4,0,4,-7,8,3,4,-1,3,-5,9,2,2,-2,1,-5,7,2,4,-3,3,-5,8,1,3,-1,3,-2
31,-5,7,0,1,0,0,-5,8,3,2,0,1,-5,10,2,3,-1,4,-5,8,1,4,0,3,-6,7,0,4,-3,4,-3,9,2,5,0,2,-2
32,-5,6,2,2,0,2,-7,7,1,1,-2,4,-6,9,1,2,-3,2,-5,8,4,2,-1,4,-4,8,2,1,-2,4,-5,6,2,4,1,2,0
33,-5,7,1,1,-3,1,-3,7,1,4,-1,2,-5,9,1,7,-1,4,-7,7,2,4,0,1,-4,9,3,2,-3,1,-5,9,2,4,-2,1,-2
34,-6,7,2,2,-3,2,-5,6,3,5,0,2,-5,8,3,4,0,3,-4,8,1,2,0,1,-4,7,0,4,0,1,-3,8,3,3,-2,3,1
35,-6,9,0,4,0,3,-5,7,2,5,-3,2,-4,6,3,1,0,2,-5,6,-1,3,-2,1,-6,6,3,4,0,4,-5,8,2,4,-1,2,0
36,-5,6,1,4,-3,3,-4,6,3,4,-3,1,-4,8,2,4,-2,1,-6,6,3,3,0,3,-6,9,3,4,-2,1,-3,8,3,1,-2,2,-3
37,-5,7,3,1,-2,2,-6,7,3,4,-1,1,-5,9,2,4,-3,3,-6,7,3,5,-2,3,-5,9,3,4,-3,4,-6,7,2,4,-2,1,-2
38,-7,7,4,5,-2,4,-4,6,1,4,-2,4,-4,6,0,0,-1,3,-5,8,4,4,-3,3,-7,8,0,4,0,4,-5,9,3,3,-2,2,-2
39,-6,8,3,3,-2,4,-3,6,2,4,-3,3,-7,9,3,4,-1,4,-5,9,3,4,-2,1,-6,7,1,4,-3,2,-5,6,2,2,-1,2,-1
40,-6,8,2,4,-1,4,-6,8,2,3,-2,2,-7,6,1,3,0,1,-5,8,2,4,-3,5,-4,9,3,3,0,2,-5,7,0,3,-3,2,1
41,-7,7,2,4,-2,4,-5,8,1,3,0,3,-5,9,2,4,-1,4,-5,7,2,5,-3,2,-4,6,2,4,-1,1,-6,6,3,4,-3,2,0
42,-4,6,3,4,-1,2,-5,8,1,1,1,1,-5,6,2,3,-4,3,-6,6,3,3,-1,4,-6,6,3,3,-1,1,-6,9,3,1,-1,1,-3
43,-5,9,1,3,-2,4,-6,6,1,2,1,3,-5,8,0,3,0,3,-5,7,3,3,0,2,-7,7,1,3,-2,2,-5,9,1,4,0,3,0
44,-5,6,2,3,-1,4,-5,7,0,4,0,1,-4,9,3,4,-1,3,-5,9,1,4,0,2,-5,6,1,2,-2,3,-5,6,1,4,-2,3,-2
45,-4,6,2,5,0,3,-4,7,1,4,-1,2,-5,7,0,3,0,3,-5,6,3,3,-1,5,-2,8,-1,1,-3,2,-4,5,0,4,-1,4,-1
46,-5,7,3,3,1,3,-2,7,4,4,-1,4,-7,8,4,5,-3,4,-6,9,3,0,-2,1,-5,8,0,3,-3,1,-7,9,4,2,-1,2,-2
47,-5,9,1,4,-3,5,-7,8,0,4,-2,1,-4,7,1,4,0,2,-5,8,0,4,-1,2,-5,7,2,3,-1,2,-3,7,3,4,-1,5,-2
48,-5,8,3,1,-1,3,-5,6,2,2,-3,1,-5,7,2,2,-1,-1,-6,9,0,2,-1,3,-5,7,3,2,-1,4,-4,5,3,5,0,3,-1
49,-6,7,0,4,0,1,-5,7,3,3,0,4,-5,8,2,1,-1,4,-5,7,1,4,0,3,-6,6,2,2,-2,2,-5,9,3,4,2,1,0
50,-5,10,3,6,0,3,-7,7,2,1,-1,4,-4,9,3,4,-1,2,-3,8,3,3,-1,1,-6,8,2,3,0,1,-5,8,2,4,0,3,-1
51,-4,8,2,1,-1,4,-3,6,3,4,-1,4,-4,9,2,3,-1,1,-5,8,2,6,-1,3,-6,6,3,2,0,4,-5,8,1,5,-1,1,-2
52,-5,7,3,1,0,1,-4,6,2,4,0,2,-6,7,3,3,-5,4,-6,7,5,2,0,1,-5,8,2,3,-1,3,-3,9,2,4,-3,4,-2
53,-5,9,3,4,0,1,-6,8,3,3,-1,1,-5,8,2,3,-3,2,-5,9,1,4,0,2,-5,6,1,5,-1,3,-5,7,3,3,-2,0,-2
54,-7,6,0,3,-2,1,-5,7,1,1,-1,2,-5,9,3,4,0,1,-5,7,2,5,-1,2,-4,7,3,2,-1,1,-6,8,1,3,0,2,0
55,-3,9,3,4,1,2,-5,8,1,3,0,2,-3,7,3,2,-3,4,-5,7,2,4,0,1,-5,8,3,4,0,4,-5,7,3,1,2,1,-1
56,-5,8,3,3,0,4,-3,8,1,4,-1,2,-5,6,2,1,-2,1,-5,9,0,4,0,1,-5,7,2,4,-3,2,-5,9,2,4,0,3,-2
57,-6,9,1,1,1,0,-4,7,3,2,0,2,-5,10,3,3,-2,2,-5,7,3,4,-3,4,-7,6,3,3,-1,2,-5,6,1,4,-2,2,-2
58,-5,7,3,2,0,4,-2,7,1,4,-3,2,-5,7,3,2,-1,4,-5,9,1,3,-1,1,-5,9,2,4,-2,2,-4,6,0,2,0,3,-1
59,-4,8,1,2,0,3,-7,9,3,4,-3,2,-5,6,1,3,0,1,-7,9,2,3,-2,3,-6,6,0,3,-1,3,-4,9,2,1,-5,1,-1
60,-5,7,4,2,-3,3,-4,8,2,5,-1,4,-5,9,2,3,0,2,-5,7,2,2,-3,1,-5,8,2,7,0,3,-5,9,2,3,-3,2,0
61,-5,6,3,3,-3,4,-5,8,0,1,-1,0,-5,8,1,5,-2,1,-5,7,3,5,-2,2,-5,8,0,2,0,0,-4,8,4,2,-3,1,-1
62,-7,9,2,1,-2,3,-4,6,1,1,-1,1,-4,7,0,1,-1,1,-5,8,3,4,-2,2,-5,9,3,2,-2,3,-5,8,3,1,1,2,-2
63,-7,8,2,4,-2,3,-5,9,4,3,0,1,-4,6,4,3,-1,2,-5,8,1,2,0,3,-5,7,5,2,-2,2,-4,8,3,4,-1,2,0
64,-5,5,1,4,1,3,-5,9,3,4,-1,3,-5,7,2,4,-2,3,-5,7,3,4,-2,1,-4,9,4,3,-2,1,-5,8,2,2,-1,4,-1
65,-5,8,2,5,-1,3,-6,10,2,1,-1,4,-5,6,2,1,-2,3,-3,6,0,3,1,1,-4,7,1,2,-1,1,-6,6,2,3,-1,0,-2
66,-7,8,0,2,-3,1,-5,6,3,3,-2,4,-5,7,0,4,-1,1,-7,6,1,3,0,1,-5,7,2,2,0,3,-5,7,2,4,-2,1,-1
67,-6,6,1,4,-1,3,-3,7,2,3,-1,1,-5,6,3,5,0,1,-4,9,1,4,-2,6,-4,7,3,4,-1,1,-7,7,3,2,-1,2,-2
68,-5,7,3,2,-2,4,-5,7,3,2,-1,1,-7,7,3,4,-1,2,-5,9,3,3,-1,4,-5,8,3,4,-1,3,-3,7,0,2,0,1,0
69,-5,8,1,3,-2,4,-5,7,1,4,1,2,-6,8,0,4,-1,2,-6,8,3,3,-1,4,-5,6,3,3,-2,4,-4,7,5,3,0,3,-1
70,-4,7,3,3,0,1,-6,6,2,3,-1,2,-5,7,2,1,-1,1,-4,8,1,2,0,3,-5,9,1,3,-2,3,-5,7,3,2,0,2,-2
71,-5,9,2,3,-1,2,-3,6,2,3,-1,4,-7,9,3,1,0,3,-6,7,2,3,0,4,-6,8,4,6,-1,0,-6,8,1,4,-2,2,-1
72,-4,9,2,2,-1,4,-5,9,2,2,-2,3,-3,9,0,4,0,1,-5,9,3,4,-2,4,-6,9,4,3,0,2,-4,6,1,4,0,4,1
73,-5,8,3,3,0,4,-3,9,-2,3,-2,2,-5,6,0,2,0,5,-4,9,2,2,0,2,-7,9,2,2,-3,3,-5,6,2,3,-1,1,-3
74,-5,8,3,1,-1,4,-5,7,0,1,0,3,-5,5,1,3,-3,4,-5,6,3,2,0,2,-5,9,3,2,-1,2,-5,10,3,4,-1,2,1
75,-5,6,3,2,0,0,-2,8,1,5,-3,1,-4,7,2,3,0,2,-5,6,2,4,0,2,-4,6,0,5,0,3,-7,7,1,4,-2,3,0
