Index,R0_C0,R0_C1,R0_C2,R0_C3,R0_C4,R0_C5,R1_C0,R1_C1,R1_C2,R1_C3,R1_C4,R1_C5,R2_C0,R2_C1,R2_C2,R2_C3,R2_C4,R2_C5,R3_C0,R3_C1,R3_C2,R3_C3,R3_C4,R3_C5,R4_C0,R4_C1,R4_C2,R4_C3,R4_C4,R4_C5,R5_C0,R5_C1,R5_C2,R5_C3,R5_C4,R5_C5,VGND
206,-7,3,-2,-2,-6,4,-8,3,-1,-2,-8,2,-7,0,1,0,-6,4,-5,-15,4,-1,-5,3,-8,3,2,-2,-6,1,-5,5,2,-1,-7,6,-1
207,-6,4,3,-1,-8,6,-4,5,2,0,-6,2,-9,2,1,-2,-7,4,-7,-18,-3,-1,-6,1,-7,2,0,-2,-5,4,-7,0,3,-3,-9,3,-2
208,-10,0,0,-4,-6,2,-7,5,0,1,-6,4,-5,4,3,1,-6,4,-5,-15,2,-3,-6,4,-4,6,1,1,-6,4,-4,3,0,1,-6,4,-1
209,-5,3,0,1,-6,4,-7,1,2,-2,-7,3,-7,3,1,-2,-9,1,-6,-15,2,-2,-6,2,-9,2,-3,-2,-7,1,-3,4,3,1,-6,4,-2
210,-7,3,-1,1,-7,3,-7,4,3,0,-7,1,-7,5,1,-1,-7,2,-8,-17,0,-1,-5,4,-8,4,2,0,-6,4,-4,3,2,1,-7,4,0
211,-9,3,1,-1,-4,4,-7,3,2,-2,-9,3,-5,1,1,-2,-7,2,-5,-13,1,-3,-5,4,-7,4,1,-1,-9,5,-6,6,3,1,-7,4,-2
212,-7,4,3,1,-6,3,-7,3,1,-2,-6,4,-7,3,0,0,-6,3,-5,-15,1,-2,-7,4,-9,3,2,0,-5,1,-7,3,3,-1,-5,2,0
213,-5,3,0,0,-8,2,-7,3,1,-1,-7,3,-6,3,0,-2,-8,5,-8,-16,2,-1,-6,4,-6,3,2,-2,-8,3,-7,3,3,-2,-8,4,1
214,-6,3,2,-2,-9,4,-7,3,3,-2,-8,3,-6,3,2,1,-6,3,-6,-15,0,-1,-7,4,-7,0,1,-2,-6,3,-7,3,1,0,-7,2,-2
215,-7,3,1,-1,-7,2,-7,3,2,2,-7,4,-5,4,1,-1,-7,3,-5,-14,1,-1,-7,3,-6,3,0,1,-6,2,-7,3,0,-1,-9,3,-2
216,-6,3,2,-2,-6,3,-7,1,1,-2,-6,4,-5,3,2,1,-6,6,-7,-16,0,-1,-8,4,-7,3,3,-1,-6,5,-4,4,0,1,-6,4,1
217,-4,3,3,-1,-6,3,-5,4,3,-1,-4,4,-7,3,2,0,-9,4,-5,-15,0,1,-6,4,-6,4,0,-1,-6,1,-8,4,1,-1,-7,4,1
218,-9,1,0,-2,-8,1,-7,5,3,-1,-7,4,-5,4,3,0,-5,5,-7,-16,0,-2,-6,4,-8,4,1,-1,-5,5,-7,4,2,-2,-6,4,-2
219,-5,4,2,1,-6,5,-10,3,0,-2,-6,3,-9,0,1,-2,-8,0,-5,-16,0,1,-6,5,-6,5,3,1,-6,4,-7,5,2,-1,-9,4,1
