Time(ms),TactileRaw(16bit),GroundRef(16bit)
4665.00,-1936,4
4670.00,-1939,2
4675.00,-1936,4
4680.00,-1931,2
4685.00,-1941,2
4690.00,-1934,3
4695.00,-1931,3
4700.00,-1930,3
4705.00,-1925,5
4710.00,-1926,5
4715.00,-1931,4
4720.00,-1928,2
4725.00,-1928,5
4730.00,-1938,3
4735.00,-1936,3
4740.00,-1933,2
4745.00,-1932,2
4750.00,-1940,3
4755.00,-1936,3
4760.00,-1938,2
4765.00,-1937,3
4770.00,-1926,5
4775.00,-1937,3
4780.00,-1937,3
4785.00,-1934,5
4790.00,-1940,2
4795.00,-1939,3
4800.00,-1938,3
4805.00,-1938,2
4810.00,-1933,3
4815.00,-1933,2
4820.00,-1936,3
4825.00,-1930,3
4830.00,-1935,2
4835.00,-1936,4
4840.00,-1932,2
4845.00,-1935,4
4850.00,-1932,5
4855.00,-1929,2
4860.00,-1931,2
4865.00,-1930,3
4870.00,-1927,5
4875.00,-1932,2
4880.00,-1933,3
4885.00,-1931,2
4890.00,-1933,3
4895.00,-1930,4
4900.00,-1929,2
4905.00,-1930,4
4910.00,-1935,4
4915.00,-1931,2
4920.00,-1939,2
4925.00,-1932,3
4930.00,-1936,4
4935.00,-1934,4
4940.00,-1932,2
4945.00,-1929,4
4950.00,-1927,2
4955.00,-1926,4
4960.00,-1924,3
4965.00,-1933,2
4970.00,-1927,2
4975.00,-1926,2
4980.00,-1927,2
4985.00,-1924,2
4990.00,-1930,3
4995.00,-1930,2
5000.00,-1922,3
5005.00,-1939,3
5010.00,-1933,3
5015.00,-1931,4
5020.00,-1927,4
5025.00,-1927,2
5030.00,-1934,2
5035.00,-1929,2
5040.00,-1929,2
5045.00,-1927,4
5050.00,-1936,4
5055.00,-1932,2
5060.00,-1931,1
5065.00,-1928,4
5070.00,-1935,1
5075.00,-1933,5
5080.00,-1936,3
5085.00,-1925,3
5090.00,-1936,3
