Index,AD1_TactileRaw(16bit),AD1_VGNDRaw(16bit),AD2_TactileRaw(16bit),AD2_VGNDRaw(16bit),AD3_TactileRaw(16bit),AD3_VGNDRaw(16bit),AD4_TactileRaw(16bit),AD4_VGNDRaw(16bit),AD5_TactileRaw(16bit),AD5_VGNDRaw(16bit),AD6_TactileRaw(16bit),AD6_VGNDRaw(16bit),AD7_TactileRaw(16bit),AD7_VGNDRaw(16bit),AD8_TactileRaw(16bit),AD8_VGNDRaw(16bit)
120,29683,12021,29692,12028,29621,12026,29672,12014,29704,12007,29677,12016,29686,11926,29706,12030
121,28510,12023,28527,12029,28625,12021,28559,12015,28523,12007,28517,12012,28526,11923,28539,12027
122,28401,12029,28418,12031,28520,12028,28453,12016,28414,12012,28409,12016,28420,11928,28430,12032
123,29850,12028,29860,12034,29774,12031,29833,12019,29871,12010,29843,12020,29854,11930,29873,12035
124,28354,12023,28372,12030,28479,12024,28407,12013,28370,12006,28362,12011,28369,11925,28386,12030
125,30007,12027,30014,12034,29923,12029,29990,12018,30028,12012,29998,12021,30009,11933,30029,12036
126,28101,12022,28117,12030,28237,12023,28157,12014,28114,12007,28111,12012,28117,11923,28129,12029
127,30107,12030,30114,12036,30023,12034,30092,12020,30127,12014,30098,12023,30109,11934,30125,12037
128,28010,12023,28025,12030,28140,12024,28066,12014,28024,12007,28020,12014,28027,11926,28043,12030
129,30074,12029,30083,12034,30021,12030,30065,12020,30095,12012,30068,12019,30077,11932,30097,12037
130,28139,12025,28155,12029,28243,12026,28184,12014,28154,12007,28145,12013,28154,11926,28169,12030
131,30022,12026,30031,12032,29973,12028,30015,12016,30041,12011,30014,12020,30023,11929,30044,12033
132,29938,12029,29949,12034,29901,12030,29935,12020,29957,12010,29934,12019,29943,11932,29960,12036
133,28439,12025,28454,12027,28500,12025,28472,12014,28456,12006,28444,12013,28451,11925,28467,12028
134,29585,12026,29597,12030,29597,12028,29603,12015,29600,12005,29583,12014,29594,11926,29609,12032
135,28973,12024,28983,12030,28977,12025,28982,12012,28992,12006,28976,12012,28982,11927,28999,12029
136,29075,12024,29089,12031,29139,12025,29110,12015,29091,12006,29077,12013,29088,11923,29101,12030
137,29480,12026,29491,12033,29431,12028,29476,12017,29502,12011,29477,12019,29486,11932,29503,12036
138,28378,12024,28396,12028,28501,12024,28429,12014,28396,12006,28386,12010,28396,11924,28408,12028
139,29807,12027,29817,12031,29735,12028,29794,12016,29829,12009,29799,12022,29809,11932,29829,12034
140,28334,12023,28350,12029,28455,12023,28385,12011,28347,12006,28342,12010,28349,11922,28362,12029
141,29717,12025,29729,12035,29653,12027,29708,12017,29740,12008,29713,12021,29723,11930,29739,12034
142,28239,12028,28258,12030,28369,12025,28294,12014,28253,12010,28248,12016,28255,11926,28270,12030
143,30067,12026,30074,12034,29982,12031,30048,12021,30091,12010,30057,12022,30068,11932,30087,12035
144,28051,12026,28065,12030,28183,12028,28108,12017,28064,12010,28059,12015,28067,11928,28081,12030
145,30171,12029,30180,12040,30089,12034,30155,12023,30192,12014,30166,12023,30174,11936,30193,12040
146,28044,12025,28063,12031,28177,12024,28102,12014,28060,12011,28054,12015,28063,11927,28076,12030
147,28093,12023,28111,12028,28204,12023,28139,12014,28110,12003,28102,12012,28109,11924,28126,12028
148,28313,12026,28325,12031,28389,12026,28350,12015,28328,12010,28317,12016,28325,11927,28342,12032
149,29773,12024,29784,12033,29762,12026,29780,12017,29792,12010,29768,12016,29777,11929,29796,12031
150,28853,12027,28867,12033,28864,12030,28867,12017,28874,12007,28853,12019,28859,11930,28877,12031
151,29138,12024,29151,12029,29196,12026,29171,12017,29156,12006,29140,12016,29152,11926,29164,12030
152,29494,12027,29504,12032,29445,12029,29487,12018,29513,12013,29489,12020,29498,11932,29517,12037
