Index,AD1_TactileRaw(16bit),AD1_VGNDRaw(16bit),AD2_TactileRaw(16bit),AD2_VGNDRaw(16bit),AD3_TactileRaw(16bit),AD3_VGNDRaw(16bit),AD4_TactileRaw(16bit),AD4_VGNDRaw(16bit),AD5_TactileRaw(16bit),AD5_VGNDRaw(16bit),AD6_TactileRaw(16bit),AD6_VGNDRaw(16bit),AD7_TactileRaw(16bit),AD7_VGNDRaw(16bit),AD8_TactileRaw(16bit),AD8_VGNDRaw(16bit)
161,16271,11852,16274,11859,16174,11854,16246,11842,16284,11835,16263,11845,16268,11758,16282,11859
162,15306,11849,15322,11854,15463,11850,15366,11839,15315,11833,15319,11841,15325,11755,15332,11856
163,21410,11849,21433,11854,21677,11844,21507,11836,21417,11832,21428,11840,21436,11752,21442,11853
164,29694,11849,29719,11854,29980,11849,29800,11840,29704,11833,29713,11837,29722,11753,29732,11854
165,32767,11845,32767,11850,32767,11844,32767,11836,32767,11829,32767,11834,32767,11750,32767,11852
166,32767,11847,32767,11853,32767,11851,32767,11841,32767,11831,32767,11838,32767,11754,32767,11856
167,32767,11850,32767,11858,32767,11855,32767,11842,32767,11836,32767,11842,32767,11760,32767,11856
168,32292,11855,32289,11861,32060,11856,32231,11846,32318,11834,32272,11844,32285,11761,32304,11861
169,23877,11853,23872,11860,23646,11858,23810,11845,23898,11836,23856,11846,23866,11762,23883,11860
170,16627,11849,16632,11855,16520,11852,16601,11840,16644,11833,16621,11842,16626,11755,16637,11856
171,15030,11851,15047,11855,15172,11848,15082,11839,15039,11833,15042,11840,15048,11755,15054,11856
172,20616,11847,20637,11851,20876,11847,20708,11837,20623,11830,20634,11836,20641,11752,20648,11851
173,28956,11849,28982,11852,29245,11847,29062,11837,28964,11830,28977,11834,28985,11752,28997,11854
174,32767,11848,32767,11852,32767,11848,32767,11836,32767,11830,32767,11838,32767,11752,32767,11853
175,32767,11847,32767,11851,32767,11850,32767,11839,32767,11828,32767,11836,32767,11751,32767,11854
176,32767,11850,32767,11857,32767,11853,32767,11843,32767,11833,32767,11841,32767,11758,32767,11858
177,32767,11856,32767,11860,32767,11858,32767,11847,32767,11838,32767,11848,32767,11764,32767,11862
178,14877,11850,14893,11854,15011,11847,14930,11838,14887,11833,14888,11843,14894,11755,14901,11853
179,28474,11847,28497,11853,28762,11847,28578,11839,28482,11831,28493,11836,28501,11753,28511,11853
180,32767,11845,32767,11851,32767,11845,32767,11836,32767,11830,32767,11837,32767,11750,32767,11850
181,32767,11850,32767,11855,32767,11852,32767,11839,32767,11833,32767,11840,32767,11754,32767,11854
182,32767,11855,32767,11860,32767,11856,32767,11844,32767,11835,32767,11845,32767,11761,32767,11860
183,32767,11856,32767,11863,32767,11862,32767,11850,32767,11839,32767,11847,32767,11764,32767,11866
184,24845,11853,24845,11860,24611,11859,24781,11846,24867,11836,24825,11848,24835,11761,24852,11862
185,17253,11853,17256,11862,17121,11856,17218,11845,17271,11836,17245,11846,17251,11760,17264,11861
186,14824,11851,14838,11856,14947,11851,14870,11842,14834,11835,14833,11843,14838,11758,14847,11858
187,20040,11850,20065,11854,20301,11850,20135,11838,20052,11834,20061,11840,20067,11752,20073,11856
188,28226,11848,28253,11852,28514,11848,28333,11838,28238,11832,28247,11839,28256,11755,28266,11853
189,32767,11848,32767,11854,32767,11847,32767,11837,32767,11833,32767,11837,32767,11754,32767,11853
190,32767,11854,32767,11861,32767,11856,32767,11844,32767,11838,32767,11843,32767,11759,32767,11860
191,32767,11856,32767,11863,32767,11859,32767,11845,32767,11839,32767,11847,32767,11762,32767,11862
192,32767,11855,32767,11863,32767,11862,32767,11849,32767,11840,32767,11851,32767,11763,32767,11864
193,24962,11855,24963,11863,24730,11860,24897,11847,24984,11839,24946,11848,24952,11763,24970,11865
194,17393,11851,17396,11862,17258,11856,17356,11846,17412,11836,17382,11845,17389,11760,17403,11860
195,14748,11854,14762,11858,14862,11853,14793,11843,14758,11835,14756,11843,14762,11755,14770,11858
196,19865,11852,19887,11857,20123,11850,19959,11841,19871,11834,19885,11841,19889,11755,19899,11859
197,28102,11852,28128,11854,28392,11848,28207,11839,28114,11832,28123,11838,28130,11753,28141,11854
198,32767,11850,32767,11857,32767,11847,32767,11841,32767,11834,32767,11840,32767,11755,32767,11855
199,32767,11853,32767,11860,32767,11854,32767,11842,32767,11835,32767,11842,32767,11758,32767,11857
200,32767,11855,32767,11863,32767,11859,32767,11847,32767,11839,32767,11848,32767,11761,32767,11862
201,32767,11857,32767,11866,32767,11861,32767,11849,32767,11841,32767,11846,32767,11765,32767,11868
202,25660,11856,25657,11863,25423,11861,25594,11847,25681,11839,25640,11847,25649,11764,25667,11863
203,17924,11855,17924,11858,17771,11859,17883,11844,17943,11835,17912,11846,17919,11761,17933,11862
204,14639,11856,14654,11860,14739,11857,14681,11845,14651,11838,14647,11848,14654,11759,14665,11861
205,19219,11850,19239,11854,19468,11851,19309,11839,19225,11835,19234,11840,19240,11755,19250,11855
206,27158,11849,27185,11853,27446,11850,27263,11837,27170,11836,27177,11840,27186,11752,27197,11855
207,32767,11852,32767,11854,32767,11852,32767,11839,32767,11835,32767,11841,32767,11756,32767,11856
208,32767,11851,32767,11858,32767,11852,32767,11841,32767,11835,32767,11841,32767,11758,32767,11858
209,32767,11854,32767,11863,32767,11860,32767,11844,32767,11836,32767,11846,32767,11761,32767,11863
210,32767,11857,32767,11862,32767,11860,32767,11848,32767,11841,32767,11847,32767,11764,32767,11865
211,26069,11854,26069,11861,25831,11858,26000,11848,26088,11839,26049,11847,26058,11764,26078,11860
212,18118,11853,18120,11862,17965,11857,18076,11844,18137,11836,18109,11846,18116,11761,18130,11862
213,14624,11852,14641,11859,14715,11854,14662,11842,14635,11835,14633,11844,14638,11759,14648,11859
214,19088,11853,19111,11856,19339,11852,19178,11842,19097,11836,19108,11841,19117,11755,19119,11856
215,27109,11852,27135,11856,27394,11849,27213,11839,27118,11834,27129,11842,27137,11755,27148,11856
216,32767,11850,32767,11853,32767,11850,32767,11840,32767,11834,32767,11839,32767,11752,32767,11854
217,32767,11855,32767,11856,32767,11856,32767,11844,32767,11837,32767,11842,32767,11757,32767,11859
218,32767,11855,32767,11861,32767,11856,32767,11846,32767,11840,32767,11844,32767,11758,32767,11863
219,32767,11856,32767,11863,32767,11862,32767,11847,32767,11839,32767,11850,32767,11764,32767,11866
220,26472,11854,26468,11865,26231,11858,26404,11846,26494,11839,26450,11846,26460,11763,26480,11865
221,14636,11857,14651,11865,14703,11858,14665,11847,14649,11842,14643,11849,14648,11763,14657,11864
222,18402,11851,18424,11857,18642,11852,18491,11842,18411,11836,18421,11842,18426,11758,18434,11858
223,26209,11852,26233,11855,26497,11850,26315,11840,26220,11836,26230,11840,26239,11754,26250,11856
224,32767,11851,32767,11854,32767,11849,32767,11840,32767,11836,32767,11838,32767,11755,32767,11856
225,32767,11849,32767,11855,32767,11851,32767,11840,32767,11835,32767,11839,32767,11753,32767,11858
226,32767,11854,32767,11860,32767,11857,32767,11845,32767,11835,32767,11843,32767,11761,32767,11860
227,32767,11856,32767,11865,32767,11861,32767,11848,32767,11839,32767,11849,32767,11763,32767,11865
228,26923,11855,26921,11863,26682,11862,26857,11848,26943,11840,26904,11847,26911,11764,26931,11867
229,18906,11857,18905,11862,18733,11860,18859,11847,18925,11839,18895,11852,18902,11764,18913,11863
230,14621,11851,14633,11856,14679,11852,14646,11843,14632,11837,14627,11843,14630,11755,14638,11859
231,18192,11851,18215,11858,18426,11852,18274,11840,18200,11836,18209,11842,18216,11755,18223,11858
232,25982,11850,26006,11854,26267,11849,26085,11839,25991,11834,26002,11840,26009,11754,26021,11855
233,32767,11854,32767,11857,32767,11854,32767,11842,32767,11836,32767,11842,32767,11756,32767,11857
234,32767,11853,32767,11858,32767,11855,32767,11842,32767,11835,32767,11844,32767,11758,32767,11859
235,32767,11853,32767,11861,32767,11858,32767,11846,32767,11838,32767,11846,32767,11762,32767,11862
236,32767,11858,32767,11866,32767,11862,32767,11851,32767,11840,32767,11849,32767,11767,32767,11866
237,18974,11855,18972,11861,18796,11858,18922,11846,18990,11839,18960,11848,18968,11764,18979,11862
238,14633,11853,14646,11860,14693,11856,14659,11843,14646,11838,14638,11846,14645,11759,14653,11861
239,18123,11855,18146,11859,18359,11854,18210,11843,18131,11840,18141,11845,18144,11759,18155,11860
240,25932,11851,25955,11856,26216,11848,26035,11838,25939,11835,25951,11841,25959,11755,25967,11856
241,32767,11851,32767,11857,32767,11853,32767,11839,32767,11834,32767,11842,32767,11752,32767,11855
242,32767,11850,32767,11856,32767,11853,32767,11839,32767,11836,32767,11841,32767,11755,32767,11859
243,32767,11849,32767,11857,32767,11853,32767,11842,32767,11834,32767,11840,32767,11756,32767,11859
244,32767,11853,32767,11861,32767,11859,32767,11847,32767,11837,32767,11845,32767,11763,32767,11863
