Time(ms),TactileRaw(16bit),GroundRef(16bit)
3300.00,-5551,2
3305.00,-5543,2
3310.00,-5548,2
3315.00,-5550,3
3320.00,-5553,1
3325.00,-5550,2
3330.00,-5555,2
3335.00,-5549,2
3340.00,-5549,2
3345.00,-5537,2
3350.00,-5549,1
3355.00,-5535,2
3360.00,-5539,4
3365.00,-5547,3
3370.00,-5547,2
3375.00,-5545,4
3380.00,-5536,2
3385.00,-5549,3
3390.00,-5540,4
3395.00,-5537,1
3400.00,-5542,2
3405.00,-5537,2
3410.00,-5540,4
3415.00,-5543,3
3420.00,-5534,5
3425.00,-5544,2
3430.00,-5538,3
3435.00,-5529,3
3440.00,-5542,2
3445.00,-5537,2
3450.00,-5537,4
3455.00,-5545,3
3460.00,-5549,4
3465.00,-5546,2
3470.00,-5544,2
3475.00,-5544,2
3480.00,-5539,3
3485.00,-5538,2
3490.00,-5541,1
3495.00,-5543,2
3500.00,-5541,4
3505.00,-5543,3
3510.00,-5542,1
3515.00,-5546,2
3520.00,-5554,0
3525.00,-5543,1
3530.00,-5545,2
3535.00,-5539,1
3540.00,-5542,2
3545.00,-5546,2
3550.00,-5540,4
3555.00,-5540,2
3560.00,-5546,3
3565.00,-5549,2
3570.00,-5539,2
3575.00,-5547,3
3580.00,-5542,2
3585.00,-5547,2
3590.00,-5553,3
3595.00,-5545,2
3600.00,-5555,4
3605.00,-5555,2
3610.00,-5555,2
3615.00,-5551,4
3620.00,-5546,1
3625.00,-5539,2
3630.00,-5544,2
3635.00,-5549,2
3640.00,-5549,2
3645.00,-5546,4
3650.00,-5543,2
3655.00,-5545,4
3660.00,-5550,3
3665.00,-5551,3
3670.00,-5554,2
3675.00,-5546,2
3680.00,-5546,2
3685.00,-5546,2
3690.00,-5549,1
3695.00,-5551,1
3700.00,-5549,2
3705.00,-5547,2
3710.00,-5546,2
3715.00,-5549,2
3720.00,-5552,2
3725.00,-5548,3
3730.00,-5537,3
3735.00,-5540,4
3740.00,-5538,3
3745.00,-5534,4
3750.00,-5542,2
3755.00,-5544,4
3760.00,-5540,2
3765.00,-5540,3
3770.00,-5541,3
3775.00,-5540,2
3780.00,-5546,2
3785.00,-5540,5
3790.00,-5546,3
3795.00,-5542,3
3800.00,-5549,2
3805.00,-5539,3
3810.00,-5536,2
3815.00,-5540,3
3820.00,-5537,3
3825.00,-5541,1
3830.00,-5544,1
3835.00,-5545,5
3840.00,-5539,2
3845.00,-5538,3
3850.00,-5538,0
3855.00,-5547,3
3860.00,-5552,3
3865.00,-5553,3
3870.00,-5546,3
3875.00,-5543,1
3880.00,-5539,2
3885.00,-5547,1
3890.00,-5540,5
3895.00,-5534,2
3900.00,-5544,1
3905.00,-5537,5
3910.00,-5535,2
3915.00,-5539,4
3920.00,-5533,4
3925.00,-5540,3
3930.00,-5544,3
3935.00,-5540,3
3940.00,-5545,1
3945.00,-5543,3
3950.00,-5548,2
3955.00,-5539,2
3960.00,-5534,2
3965.00,-5544,1
3970.00,-5543,1
3975.00,-5540,2
3980.00,-5535,2
3985.00,-5534,4
3990.00,-5534,1
3995.00,-5539,2
4000.00,-5535,2
4005.00,-5540,3
4010.00,-5542,2
4015.00,-5545,2
4020.00,-5543,3
4025.00,-5538,3
4030.00,-5548,4
4035.00,-5538,3
4040.00,-5547,1
4045.00,-5537,3
4050.00,-5534,2
4055.00,-5544,5
4060.00,-5549,3
4065.00,-5543,3
4070.00,-5544,3
4075.00,-5549,3
4080.00,-5545,5
4085.00,-5543,4
4090.00,-5541,3
4095.00,-5543,0
4100.00,-5537,2
4105.00,-5554,2
4110.00,-5549,3
4115.00,-5548,3
4120.00,-5549,2
4125.00,-5540,1
4130.00,-5548,3
4135.00,-5540,2
4140.00,-5534,4
4145.00,-5543,5
4150.00,-5543,2
4155.00,-5540,2
4160.00,-5545,3
4165.00,-5549,5
4170.00,-5539,2
4175.00,-5543,3
4180.00,-5545,2
4185.00,-5537,2
4190.00,-5549,4
4195.00,-5545,4
4200.00,-5555,2
4205.00,-5554,5
4210.00,-5545,2
4215.00,-5552,4
4220.00,-5548,1
4225.00,-5546,3
4230.00,-5552,2
4235.00,-5550,5
4240.00,-5543,2
4245.00,-5546,2
4250.00,-5544,2
4255.00,-5543,2
4260.00,-5543,2
4265.00,-5548,2
4270.00,-5530,3
4275.00,-5525,3
4280.00,-5536,3
4285.00,-5533,1
4290.00,-5539,4
4295.00,-5527,2
4300.00,-5531,3
4305.00,-5539,4
4310.00,-5543,4
4315.00,-5537,3
4320.00,-5541,2
4325.00,-5540,2
4330.00,-5534,3
4335.00,-5529,2
4340.00,-5534,3
4345.00,-5534,2
4350.00,-5540,2
4355.00,-5537,4
4360.00,-5543,2
4365.00,-5540,3
4370.00,-5538,2
4375.00,-5537,2
4380.00,-5533,3
4385.00,-5532,4
4390.00,-5535,4
4395.00,-5527,1
4400.00,-5537,2
4405.00,-5528,2
4410.00,-5526,2
4415.00,-5535,2
4420.00,-5535,4
4425.00,-5535,4
4430.00,-5528,2
4435.00,-5537,3
4440.00,-5543,3
4445.00,-5537,2
4450.00,-5539,2
4455.00,-5540,2
4460.00,-5528,2
