Index,TemperatureRaw16,VGNDRaw16,TemperatureBaselineRaw16,TemperatureRaw16_Filtered,TemperatureNoiseRaw16,VGNDBaselineRaw16,VGNDRaw16_Filtered,VGNDNoiseRaw16
318,35,-2,33,57.048870,2.088172,-1,-2.001595,-0.860989
319,35,-1,33,57.048870,2.088172,-1,-1.001595,0.139011
320,32,0,33,54.048870,-0.911828,-1,-0.001595,1.139011
321,36,0,33,58.048870,3.088172,-1,-0.001595,1.139011
322,41,-2,33,63.048870,8.088172,-1,-2.001595,-0.860989
323,32,-1,33,54.048870,-0.911828,-1,-1.001595,0.139011
324,34,-3,33,56.048870,1.088172,-1,-3.001595,-1.860989
325,37,0,33,59.048870,4.088172,-1,-0.001595,1.139011
326,29,-1,33,51.048870,-3.911828,-1,-1.001595,0.139011
327,35,-2,33,57.048870,2.088172,-1,-2.001595,-0.860989
328,35,-2,33,57.048870,2.088172,-1,-2.001595,-0.860989
329,45,-2,33,67.048870,12.088172,-1,-2.001595,-0.860989
330,34,0,33,56.048870,1.088172,-1,-0.001595,1.139011
331,39,-2,33,61.048870,6.088172,-1,-2.001595,-0.860989
332,33,-2,33,55.048870,0.088172,-1,-2.001595,-0.860989
333,41,-3,33,63.048870,8.088172,-1,-3.001595,-1.860989
334,37,-1,33,59.048870,4.088172,-1,-1.001595,0.139011
335,38,-1,33,60.048870,5.088172,-1,-1.001595,0.139011
336,38,-2,33,60.048870,5.088172,-1,-2.001595,-0.860989
337,27,0,33,49.048870,-5.911828,-1,-0.001595,1.139011
338,32,-2,33,54.048870,-0.911828,-1,-2.001595,-0.860989
339,27,-2,33,49.048870,-5.911828,-1,-2.001595,-0.860989
340,42,-1,33,64.048870,9.088172,-1,-1.001595,0.139011
341,26,-2,33,48.048870,-6.911828,-1,-2.001595,-0.860989
342,27,-2,33,49.048870,-5.911828,-1,-2.001595,-0.860989
343,38,-1,33,60.048870,5.088172,-1,-1.001595,0.139011
344,34,-1,33,56.048870,1.088172,-1,-1.001595,0.139011
345,32,1,33,54.048870,-0.911828,-1,0.998405,2.139011
346,29,-2,33,51.048870,-3.911828,-1,-2.001595,-0.860989
347,26,-2,33,48.048870,-6.911828,-1,-2.001595,-0.860989
348,37,-2,33,59.048870,4.088172,-1,-2.001595,-0.860989
349,29,-1,33,51.048870,-3.911828,-1,-1.001595,0.139011
350,32,0,33,54.048870,-0.911828,-1,-0.001595,1.139011
351,39,1,33,61.048870,6.088172,-1,0.998405,2.139011
352,28,0,33,50.048870,-4.911828,-1,-0.001595,1.139011
353,28,0,33,50.048870,-4.911828,-1,-0.001595,1.139011
354,29,1,33,51.048870,-3.911828,-1,0.998405,2.139011
355,26,-1,33,48.048870,-6.911828,-1,-1.001595,0.139011
356,32,0,33,54.048870,-0.911828,-1,-0.001595,1.139011
357,33,1,33,55.048870,0.088172,-1,0.998405,2.139011
358,26,-2,33,48.048870,-6.911828,-1,-2.001595,-0.860989
359,23,-1,33,45.048870,-9.911828,-1,-1.001595,0.139011
360,37,-2,33,59.048870,4.088172,-1,-2.001595,-0.860989
361,35,-3,33,57.048870,2.088172,-1,-3.001595,-1.860989
362,24,1,33,46.048870,-8.911828,-1,0.998405,2.139011
363,31,-2,33,53.048870,-1.911828,-1,-2.001595,-0.860989
364,35,-1,33,57.048870,2.088172,-1,-1.001595,0.139011
365,35,0,33,57.048870,2.088172,-1,-0.001595,1.139011
366,33,-2,33,55.048870,0.088172,-1,-2.001595,-0.860989
367,32,-2,33,54.048870,-0.911828,-1,-2.001595,-0.860989
368,43,-1,33,65.048870,10.088172,-1,-1.001595,0.139011
369,29,-1,33,51.048870,-3.911828,-1,-1.001595,0.139011
370,21,0,33,43.048870,-11.911828,-1,-0.001595,1.139011
371,33,-2,33,55.048870,0.088172,-1,-2.001595,-0.860989
372,32,0,33,54.048870,-0.911828,-1,-0.001595,1.139011
373,31,0,33,53.048870,-1.911828,-1,-0.001595,1.139011
374,33,-2,33,55.048870,0.088172,-1,-2.001595,-0.860989
375,32,-2,33,54.048870,-0.911828,-1,-2.001595,-0.860989
376,24,-1,33,46.048870,-8.911828,-1,-1.001595,0.139011
377,32,-1,33,54.048870,-0.911828,-1,-1.001595,0.139011
378,34,-2,33,56.048870,1.088172,-1,-2.001595,-0.860989
379,37,-2,33,59.048870,4.088172,-1,-2.001595,-0.860989
380,31,-2,33,53.048870,-1.911828,-1,-2.001595,-0.860989
381,32,-2,33,54.048870,-0.911828,-1,-2.001595,-0.860989
382,36,1,33,58.048870,3.088172,-1,0.998405,2.139011
383,32,-1,33,54.048870,-0.911828,-1,-1.001595,0.139011
384,22,0,33,44.048870,-10.911828,-1,-0.001595,1.139011
385,44,-2,33,66.048870,11.088172,-1,-2.001595,-0.860989
386,31,-2,33,53.048870,-1.911828,-1,-2.001595,-0.860989
387,32,-1,33,54.048870,-0.911828,-1,-1.001595,0.139011
388,29,-1,33,51.048870,-3.911828,-1,-1.001595,0.139011
389,27,0,33,49.048870,-5.911828,-1,-0.001595,1.139011
390,33,-2,33,55.048870,0.088172,-1,-2.001595,-0.860989
391,37,-2,33,59.048870,4.088172,-1,-2.001595,-0.860989
392,28,-1,33,50.048870,-4.911828,-1,-1.001595,0.139011
