Index,R0_C0,R0_C1,R0_C2,R0_C3,R0_C4,R0_C5,R1_C0,R1_C1,R1_C2,R1_C3,R1_C4,R1_C5,R2_C0,R2_C1,R2_C2,R2_C3,R2_C4,R2_C5,R3_C0,R3_C1,R3_C2,R3_C3,R3_C4,R3_C5,R4_C0,R4_C1,R4_C2,R4_C3,R4_C4,R4_C5,R5_C0,R5_C1,R5_C2,R5_C3,R5_C4,R5_C5,VGND
9875,-9,6,-1,-2,-4,1,-11,6,-3,-4,-5,1,-10,9,0,1,-4,-1,-9,9,0,0,-3,-1,-8,6,0,1,-6,1,-8,9,1,0,-6,0,-1
9876,-9,6,0,-1,-3,-2,-12,9,-6,-1,-4,0,-9,7,2,1,-6,0,-10,8,0,-1,-5,1,-9,7,1,-2,-3,-2,-9,9,3,-2,-4,1,0
9877,-11,4,0,-1,-4,1,-13,6,-4,-1,-4,-1,-9,7,0,-3,-3,-1,-8,7,0,-2,-5,1,-8,8,2,-2,-4,1,-8,9,0,-2,-6,-1,-2
9878,-9,8,-1,-2,-4,1,-14,7,-6,-1,-4,1,-8,7,0,0,-6,1,-9,9,0,-1,-3,-2,-8,7,2,-2,-3,-1,-8,9,1,-3,-3,-1,-2
9879,-10,6,-1,0,-4,-2,-11,9,-3,0,-3,2,-11,9,0,1,-6,-1,-10,9,2,-2,-3,1,-8,9,0,-1,-5,3,-9,9,0,0,-4,3,-2
9880,-9,8,0,0,-3,1,-12,7,-5,-1,-3,-2,-10,6,0,-1,-3,-1,-9,5,1,-2,-5,1,-10,5,0,-1,-5,0,-7,9,0,0,-5,0,0
9881,-10,9,2,1,-5,0,-13,7,-5,0,-5,0,-9,6,0,-1,-5,1,-8,7,0,-2,-3,-2,-8,7,1,-2,-6,1,-10,9,0,1,-3,-1,-1
9882,-8,8,-1,-2,-3,-2,-13,8,-8,-1,-4,-2,-9,8,1,0,-6,-2,-8,9,1,-1,-5,1,-8,6,0,0,-5,1,-9,6,0,-2,-5,1,-2
9883,-8,9,0,0,-4,1,-12,9,-8,-1,-4,1,-10,6,1,-1,-4,0,-10,9,1,-1,-5,0,-10,7,-1,0,-3,-2,-10,6,0,-1,-6,-1,-1
9884,-9,9,0,-1,-3,0,-15,9,-5,-2,-3,0,-9,8,0,0,-4,0,-7,8,0,-2,-4,0,-8,6,0,-2,-5,2,-8,8,2,1,-5,-2,-1
9885,-8,8,0,1,-3,1,-12,7,-4,0,-6,0,-8,8,1,1,-4,1,-9,8,1,0,-6,2,-10,8,2,-1,-3,0,-7,6,0,1,-3,1,0
9886,-10,7,0,-2,-4,2,-13,9,-5,-2,-4,-1,-8,7,0,-2,-6,1,-8,10,0,0,-6,0,-9,6,3,-3,-3,1,-7,9,1,0,-3,-2,-2
9887,-11,6,-1,1,-5,-2,-13,8,-3,-1,-3,0,-10,6,1,-1,-4,0,-10,7,0,0,-3,0,-7,9,2,0,-3,-2,-8,8,1,-1,-4,1,-1
9888,-11,6,1,-2,-4,1,-13,8,-6,-2,-6,0,-9,9,3,-1,-4,0,-10,8,1,1,-3,0,-10,8,0,-2,-5,1,-10,9,1,-2,-6,-2,-1
9889,-10,9,0,-1,-3,1,-10,6,-5,0,-4,0,-10,8,0,0,-4,0,-7,7,1,1,-3,2,-10,9,1,-1,-4,-2,-10,6,1,-3,-6,1,-1
