Time(ms),TactileRaw(16bit),GroundRef(16bit)
2940.00,-577,4
2945.00,-575,2
2950.00,-579,2
2955.00,-576,3
2960.00,-580,5
2965.00,-574,2
2970.00,-573,4
2975.00,-572,2
2980.00,-571,3
2985.00,-575,2
2990.00,-574,5
2995.00,-576,2
3000.00,-574,3
3005.00,-576,2
3010.00,-578,6
3015.00,-574,4
3020.00,-573,5
3025.00,-574,4
3030.00,-574,5
3035.00,-577,5
3040.00,-577,3
3045.00,-582,2
3050.00,-578,4
3055.00,-581,5
3060.00,-586,2
3065.00,-581,1
3070.00,-581,5
3075.00,-580,3
3080.00,-574,4
3085.00,-584,5
3090.00,-580,3
3095.00,-580,2
3100.00,-583,2
3105.00,-577,4
3110.00,-579,3
3115.00,-578,3
3120.00,-577,4
3125.00,-580,6
3130.00,-580,5
3135.00,-581,4
3140.00,-579,2
3145.00,-580,3
3150.00,-575,4
3155.00,-578,5
3160.00,-579,4
3165.00,-582,1
3170.00,-577,5
3175.00,-581,4
3180.00,-582,5
3185.00,-580,5
3190.00,-579,2
3195.00,-576,5
3200.00,-577,3
3205.00,-577,4
3210.00,-577,4
3215.00,-571,3
3220.00,-574,4
3225.00,-572,4
3230.00,-576,4
3235.00,-575,5
3240.00,-576,4
3245.00,-575,5
3250.00,-577,5
3255.00,-575,4
3260.00,-580,2
3265.00,-578,3
3270.00,-583,5
3275.00,-579,5
3280.00,-582,2
3285.00,-580,2
3290.00,-576,2
3295.00,-580,4
3300.00,-579,5
3305.00,-580,4
3310.00,-577,4
3315.00,-574,4
3320.00,-572,2
3325.00,-582,4
3330.00,-582,2
3335.00,-581,3
3340.00,-578,5
3345.00,-579,4
3350.00,-579,5
3355.00,-578,4
3360.00,-575,2
3365.00,-577,5
3370.00,-577,4
3375.00,-576,4
3380.00,-579,5
3385.00,-581,5
3390.00,-576,3
3395.00,-577,6
3400.00,-580,1
3405.00,-580,3
3410.00,-581,5
3415.00,-575,3
3420.00,-577,4
3425.00,-572,4
3430.00,-579,3
3435.00,-574,3
3440.00,-577,4
3445.00,-584,2
3450.00,-580,2
3455.00,-574,2
3460.00,-578,5
3465.00,-581,4
3470.00,-577,3
3475.00,-580,2
3480.00,-577,6
3485.00,-576,5
3490.00,-574,3
3495.00,-574,2
3500.00,-577,2
3505.00,-575,2
3510.00,-572,3
3515.00,-577,3
3520.00,-580,3
3525.00,-573,5
3530.00,-574,3
3535.00,-573,4
3540.00,-576,2
3545.00,-580,4
3550.00,-580,5
3555.00,-584,5
3560.00,-580,5
3565.00,-579,1
3570.00,-586,2
3575.00,-587,5
3580.00,-581,4
